Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 9,Value 9
record,timestamp,1092223655,position_lat,467988527,position_long,-916457311.0,distance,1410.26,enhanced_speed,3.135,enhanced_altitude,139.79999999999995,cadence,82.0
record,timestamp,1092223661,position_lat,467986766,position_long,-916458413.0,distance,1428.54,enhanced_speed,3.088,enhanced_altitude,139.20000000000005,cadence,82.0
record,timestamp,1092223666,position_lat,467985360,position_long,-916458327.0,distance,1442.21,enhanced_speed,3.004,enhanced_altitude,139.20000000000005,cadence,82.0
record,timestamp,1092223667,position_lat,467985159,position_long,-916458047.0,distance,1444.92,enhanced_speed,2.948,enhanced_altitude,139.39999999999998,cadence,82.0
record,timestamp,1092223671,position_lat,467984644,position_long,-916456508.0,distance,1457.04,enhanced_speed,3.06,enhanced_altitude,139.60000000000002,cadence,86.0
record,timestamp,1092223673,position_lat,467984468,position_long,-916455776.0,distance,1462.58,enhanced_speed,3.051,enhanced_altitude,139.79999999999995,cadence,85.0
record,timestamp,1092223675,position_lat,467984301,position_long,-916455053.0,distance,1468.04,enhanced_speed,3.023,enhanced_altitude,140.20000000000005,cadence,85.0
record,timestamp,1092223677,position_lat,467983938,position_long,-916454565.0,distance,1472.98,enhanced_speed,2.958,enhanced_altitude,140.20000000000005,cadence,84.0
record,timestamp,1092223678,position_lat,467983715,position_long,-916454416.0,distance,1475.32,enhanced_speed,2.921,enhanced_altitude,140.20000000000005,cadence,84.0
record,timestamp,1092223679,position_lat,467983441,position_long,-916454229.0,distance,1478.21,enhanced_speed,2.902,enhanced_altitude,140.39999999999998,cadence,83.0
record,timestamp,1092223684,position_lat,467981573,position_long,-916453541.0,distance,1496.37,enhanced_speed,2.995,enhanced_altitude,140.60000000000002,cadence,85.0
record,timestamp,1092223685,position_lat,467981321,position_long,-916453353.0,distance,1499.02,enhanced_speed,2.995,enhanced_altitude,140.79999999999995,cadence,86.0
record,timestamp,1092223688,position_lat,467980924,position_long,-916452421.0,distance,1506.72,enhanced_speed,2.986,enhanced_altitude,141.20000000000005,cadence,87.0
record,timestamp,1092223692,position_lat,467980458,position_long,-916450847.0,distance,1518.9,enhanced_speed,3.014,enhanced_altitude,141.39999999999998,cadence,85.0
record,timestamp,1092223694,position_lat,467980268,position_long,-916450059.0,distance,1524.87,enhanced_speed,3.032,enhanced_altitude,141.79999999999995,cadence,85.0
record,timestamp,1092223695,position_lat,467980182,position_long,-916449664.0,distance,1527.83,enhanced_speed,3.042,enhanced_altitude,142.0,cadence,85.0
record,timestamp,1092223702,position_lat,467979343,position_long,-916447017.0,distance,1548.55,enhanced_speed,3.07,enhanced_altitude,142.79999999999995,cadence,85.0
record,timestamp,1092223703,position_lat,467979264,position_long,-916446669.0,distance,1551.17,enhanced_speed,3.07,enhanced_altitude,143.0,cadence,85.0
record,timestamp,1092223709,position_lat,467978684,position_long,-916444285.0,distance,1569.25,enhanced_speed,3.07,enhanced_altitude,143.60000000000002,cadence,86.0
record,timestamp,1092223713,position_lat,467978239,position_long,-916442694.0,distance,1581.49,enhanced_speed,3.07,enhanced_altitude,144.20000000000005,cadence,86.0
record,timestamp,1092223716,position_lat,467977878,position_long,-916441546.0,distance,1590.45,enhanced_speed,3.07,enhanced_altitude,144.60000000000002,cadence,85.0
record,timestamp,1092223723,distance,1611.31,enhanced_speed,3.032,enhanced_altitude,145.0,unknown,100,heart_rate,158.0,fractional_cadence,0.5
lap,timestamp,1,start_time,1,start_position_lat,1.0,start_position_long,1.0,end_position_lat,1,end_position_long,1.0,total_distance,1.0
lap,timestamp,1092223723,start_time,1092223151,start_position_lat,468103672.0,start_position_long,-916484792.0,end_position_lat,467977134,end_position_long,-916439273.0,total_distance,1609.34
record,timestamp,1092223724,position_lat,467976872,position_long,-916438482.0,distance,1614.34,enhanced_speed,3.032,enhanced_altitude,145.20000000000005,cadence,83.0
record,timestamp,1092223725,position_lat,467976729,position_long,-916438101.0,distance,1617.37,enhanced_speed,3.032,enhanced_altitude,145.20000000000005,cadence,86.0
record,timestamp,1092223732,position_lat,467975903,position_long,-916435374.0,distance,1635.54,enhanced_speed,3.004,enhanced_altitude,146.0,cadence,86.0
record,timestamp,1092223733,position_lat,467975903,position_long,-916435374.0,distance,1635.54,enhanced_speed,3.004,enhanced_altitude,146.0,cadence,86.0
record,timestamp,1092223734,position_lat,467975664,position_long,-916434552.0,distance,1641.9,enhanced_speed,3.004,enhanced_altitude,146.0,cadence,86.0
record,timestamp,1092223737,position_lat,467975287,position_long,-916433297.0,distance,1651.63,enhanced_speed,3.042,enhanced_altitude,146.20000000000005,cadence,84.0
record,timestamp,1092223738,position_lat,467975150,position_long,-916432932.0,distance,1654.57,enhanced_speed,3.042,enhanced_altitude,146.20000000000005,cadence,84.0
record,timestamp,1092223740,position_lat,467974806,position_long,-916432165.0,distance,1660.97,enhanced_speed,3.051,enhanced_altitude,146.39999999999998,cadence,84.0
record,timestamp,1092223741,position_lat,467974622,position_long,-916431785.0,distance,1664.21,enhanced_speed,3.06,enhanced_altitude,146.39999999999998,cadence,84.0
record,timestamp,1092223743,position_lat,467974301,position_long,-916431105.0,distance,1669.96,enhanced_speed,3.06,enhanced_altitude,146.39999999999998,cadence,84.0
record,timestamp,1092223744,position_lat,467974139,position_long,-916430749.0,distance,1672.95,enhanced_speed,3.06,enhanced_altitude,146.60000000000002,cadence,83.0
record,timestamp,1092223745,position_lat,467973941,position_long,-916430366.0,distance,1676.27,enhanced_speed,3.06,enhanced_altitude,146.20000000000005,cadence,83.0
record,timestamp,1092223746,position_lat,467973716,position_long,-916429997.0,distance,1679.67,enhanced_speed,3.06,enhanced_altitude,146.20000000000005,cadence,83.0
record,timestamp,1092223748,position_lat,467973274,position_long,-916429447.0,distance,1685.4,enhanced_speed,3.06,enhanced_altitude,146.20000000000005,cadence,83.0
record,timestamp,1092223750,position_lat,467972790,position_long,-916428916.0,distance,1691.31,enhanced_speed,3.051,enhanced_altitude,146.20000000000005,cadence,83.0
lap,timestamp,1092223750,start_time,1092223724,start_position_lat,467976872.0,start_position_long,-916438482.0,end_position_lat,467972790,end_position_long,-916428916.0,total_distance,81.89
record,timestamp,1092223751,position_lat,467972525,position_long,-916428606.0,distance,1694.65,enhanced_speed,3.051,enhanced_altitude,146.20000000000005,cadence,82.0
record,timestamp,1092223752,position_lat,467972236,position_long,-916428269.0,distance,1698.27,enhanced_speed,3.051,enhanced_altitude,146.0,cadence,82.0
